Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,80%,90%,95%,98%,99%,99.5%,99.9%,100%
POST,compose_post,2260,0,370,818.5106194690266,81,9250,25.0,56.39215446024701,0.0,370,1800,2300,2500,2800,3400,4500,7500,9200
,Aggregated,2260,0,370,818.5106194690266,81,9250,25.0,56.39215446024701,0.0,370,1800,2300,2500,2800,3400,4500,7500,9200
